번호,등록번호,서명(자료명),저자,출판사,출판년도,청구기호,입수유형,자료형태,,,가격,,,도서상태,등록일
48,1259,몽실언니,권정생,창작과비평사,2000,813.8 권74ㅁ,구입,단행본,,,￦,"6,000",,대출가능,2013-11-20
49,1709,자연학습 곤충 물고기 도감,신유항,예림당,1999,490 신66ㅈ,구입,단행본,,,￦,"20,000",,대출가능,2013-11-20
50,1710,자연학습 곤충 물고기 도감,신유항,예림당,1999,490 신66ㅈ c.2,구입,단행본,,,￦,"20,000",,대출중,2013-11-20
51,2072,우리 민속 도감,예림당,예림당,1999,380.82 예298ㅇ,구입,단행본,,,￦,"20,000",,대출가능,2013-11-20
52,2073,우리 민속 도감,예림당,예림당,1999,380.82 예298ㅇ,구입,단행본,,,￦,"20,000",,대출가능,2013-11-20
53,2415,마지막 잎새,헨리.O,지경사,1999,843.8 헨298ㅁ,구입,단행본,,,￦,"5,000",,대출가능,2013-11-20
54,2645,너도 하늘말 나리야,이금이,푸른책들,2000,813.8 이17ㄴ,구입,단행본,,,￦,"6,500",,대출가능,2013-11-20
55,2646,너도 하늘말 나리야,이금이,푸른책들,2000,813.8 이17ㄴ,구입,단행본,,,￦,"6,500",,대출가능,2013-11-20
56,2648,소나기,황순원,다림,2000,813.6 황56ㅅ c.2,구입,단행본,,,￦,"6,000",,대출가능,2013-11-20
57,2657,거미들의 세계,교육문화사,교육문화사,1999,408 하68ㄱ v.1,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
58,2658,숲속의 곤충,교육문화사,교육문화사,1999,408 하68ㄱ v.2,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
59,2659,여러가지 단풍,교육문화사,교육문화사,1999,408 하68ㄱ v.3,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
60,2660,해바라기의 한 해,교육문화사,교육문화사,1999,408 하68ㄱ v.4,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
61,2661,여러가지 튤립,교육문화사,교육문화사,1999,408 하68ㄱ v.5,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
62,2662,꿀벌의 세계,교육문화사,교육문화사,1999,408 하68ㄱ v.6,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
63,2663,꽃과 곤충,교육문화사,교육문화사,1999,408 하68ㄱ v.7,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
64,2664,나팔꽃의 일생,교육문화사,교육문화사,1999,408 하68ㄱ v.8,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
65,2665,봄꽃의 세상,교육문화사,교육문화사,1999,408 하68ㄱ v.9,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
66,2666,여름꽃의 세상,교육문화사,교육문화사,1999,408 하68ㄱ v.10,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
67,2667,참게의 한살이,교육문화사,교육문화사,1999,408 하68ㄱ v.11,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
68,2668,민들레의 한 해,교육문화사,교육문화사,1999,408 하68ㄱ v.12,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
69,2669,도토리의 한살이,교육문화사,교육문화사,1999,408 하68ㄱ v.13,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
70,2670,개미들의 천국,교육문화사,교육문화사,1999,408 하68ㄱ v.14,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
